ScID,Category,Lat,Long,Capacity,Staff
2393,5,40.01660500000,116.51747400000,11,3
2394,5,40.01979300000,116.27540600000,11,3
2395,5,40.18578900000,116.02488200000,15,4
2396,5,40.03973700000,116.32300700000,15,4
2397,5,39.81968300000,116.34326200000,15,4
2398,5,39.74798100000,116.37465100000,15,4
2399,5,39.82618100000,116.42145800000,15,4
2400,5,39.87812400000,116.61945300000,15,4
2401,5,39.81904200000,116.81904200000,15,4
2402,5,39.47545800000,116.35683100000,15,4
2403,5,39.68819000000,115.91596900000,15,4
2404,5,40.09515800000,116.60590800000,15,4
2405,5,39.88996900000,116.67523500000,19,5
2406,5,40.00057800000,116.24265400000,19,5
2407,5,40.05062600000,116.40567700000,19,5
2408,5,39.86012500000,116.32864700000,19,5
2409,5,39.98940500000,116.40662400000,19,5
2410,5,40.04386400000,116.31376700000,19,5
2411,5,39.81447600000,116.37243700000,19,5
2412,5,39.61114800000,116.41368900000,19,5
2413,5,39.76624600000,116.15220800000,19,5
2414,5,40.12173300000,116.50942600000,19,5
2415,5,40.03524400000,116.24584400000,23,6
2416,5,40.05529000000,116.30856600000,23,6
2417,5,40.09482300000,116.28412300000,23,6
2418,5,39.69643100000,116.29738400000,15,4
2483,5,40.19778993000,116.23609840000,27,7
2484,5,40.19544789000,117.19671640000,19,5
2486,5,39.87450578000,116.29342010000,15,4
2252,6,40.12108300000,116.22551400000,16,4
2253,6,39.99608500000,116.42925400000,16,4
2254,6,39.78608900000,116.04292400000,11,3
2255,6,39.91816500000,116.39461000000,11,3
2256,6,40.03012000000,116.33087900000,11,3
2257,6,39.65574200000,116.52872300000,11,3
2258,6,39.94493000000,116.59174600000,11,3
2259,6,39.77538500000,116.16512400000,11,3
2260,6,40.11683500000,116.12984700000,11,3
2261,6,40.42646200000,115.88771400000,11,3
2262,6,40.12074500000,116.57367100000,11,3
2263,6,39.91047600000,116.36780600000,11,3
2264,6,39.76838200000,116.46018700000,11,3
2265,6,40.01777800000,116.43948000000,11,3
2266,6,39.67585100000,116.12183100000,11,3
2267,6,40.02346100000,116.29590400000,11,3
2268,6,40.02295600000,116.30700700000,11,3
2269,6,39.94568100000,116.44608400000,11,3
2270,6,39.85019300000,116.34620200000,11,3
2271,6,39.94799300000,116.56094700000,11,3
2272,6,39.72559800000,116.46475100000,11,3
2273,6,39.76250300000,116.47449900000,11,3
2274,6,39.99472800000,116.67463300000,11,3
2275,6,40.04166200000,116.65430700000,11,3
2276,6,40.09070100000,116.41640100000,11,3
2277,6,39.89949600000,116.30297800000,11,3
2278,6,40.07047300000,116.80633100000,11,3
2279,6,39.74125900000,116.46431300000,11,3
2280,6,40.08627900000,116.40889200000,11,3
2281,6,39.92778300000,116.31067800000,11,3
2282,6,39.87551800000,116.20824500000,16,4
2283,6,40.01604900000,116.38581200000,16,4
2284,6,39.81236800000,116.39210100000,16,4
2285,6,39.84520900000,116.83563000000,16,4
2286,6,39.98037100000,116.27315700000,16,4
2287,6,39.73743900000,116.56594500000,16,4
2288,6,39.98319700000,116.34539900000,16,4
2289,6,39.82041400000,116.24168600000,16,4
2290,6,40.04112600000,116.55544300000,16,4
2291,6,39.87234000000,116.34383200000,16,4
2292,6,40.03935600000,116.41788300000,16,4
2293,6,39.93057400000,116.55626500000,16,4
2294,6,39.87512000000,116.43600500000,16,4
2295,6,39.88916700000,116.21683500000,16,4
2296,6,40.20107600000,116.65294600000,16,4
2297,6,39.90277200000,116.30523300000,16,4
2298,6,39.79489600000,116.63591600000,16,4
2299,6,39.93911400000,116.28158600000,16,4
2300,6,39.94847100000,116.18153100000,16,4
2301,6,39.79145200000,116.47569300000,16,4
2302,6,39.88671500000,116.24185600000,20,5
2303,6,39.73098800000,116.28481800000,20,5
2304,6,39.73788700000,116.25175600000,20,5
2305,6,39.99749900000,116.33024600000,20,5
2306,6,39.99863800000,116.30190900000,20,5
